1	((5,88),     ,     ,     )	X
2	((5,89),     ,     ,     )	Y
3	((5,73),     ,     ,     )	I
4	((5,65),     ,     ,     )	A
5	((5,82),     ,     ,     )	L91
6	((5,83),     ,     ,     )	L92
7	((1,4),(3,49),     ,(5,73))	I=1
8	((1,4),(3,53),     ,(5,88))	X=5
9	((1,4),(3,98),     ,(5,89))	Y=11
10	((2,15),     ,     ,(5,82))	L91
11	((2,10),(5,88),(5,89),(0,1))	T1=X GT Y
12	((2,12),(0,1),     ,(5,25))	IF T1 == FALSE GO TO L1
13	((2,11),     ,     ,(5,83))	GTO L92
14	((2,15),     ,     ,(5,25))	L1
15	((1,5),(5,88),(3,50),(0,2))	T2=X+2
16	((1,4),(0,2),     ,(5,88))	X=T2
17	((1,4),(5,88),(5,73),(5,65))	A(I)=X
18	((1,5),(5,73),(3,49),(0,3))	T3=I+1
19	((1,4),(0,3),     ,(5,73))	I=T3
20	((2,11),     ,     ,(5,82))	GTO L91
21	((2,15),     ,     ,(5,83))	L92
22	((2,6),     ,     ,     )	ENP
